	res	x1	x3	x_N-4	x_N-2
15444	9.826232887921726e-07	-0.4999997484073723	-2.499998744765912	-97.49999880226295	-99.49999976040527
15445	9.81653778930891e-07	-0.4999997486556013	-2.4999987460043642	-97.49999880344468	-99.49999976064167
15446	9.806850693183655e-07	-0.49999974890358556	-2.499998747241596	-97.49999880462524	-99.49999976087783
15447	9.797176681036746e-07	-0.49999974915132495	-2.499998748477606	-97.49999880580464	-99.49999976111376
15448	9.78750964830688e-07	-0.4999997493988202	-2.4999987497123968	-97.49999880698286	-99.49999976134946
15449	9.7778525431913e-07	-0.4999997496460711	-2.4999987509459687	-97.49999880815992	-99.49999976158492
15450	9.768206513105504e-07	-0.499999749893078	-2.4999987521783242	-97.49999880933582	-99.49999976182013
15451	9.758569034512554e-07	-0.4999997501398412	-2.499998753409464	-97.49999881051058	-99.49999976205513
15452	9.748941566800617e-07	-0.49999975038636085	-2.4999987546393885	-97.49999881168416	-99.49999976228989
15453	9.739323279522871e-07	-0.49999975063263746	-2.4999987558681	-97.4999988128566	-99.49999976252442
15454	9.729713019157593e-07	-0.49999975087867105	-2.499998757095599	-97.49999881402788	-99.49999976275873
15455	9.720113877120795e-07	-0.4999997511244619	-2.499998758321887	-97.49999881519798	-99.4999997629928
15456	9.710521973738118e-07	-0.4999997513700102	-2.4999987595469646	-97.49999881636695	-99.49999976322663
15457	9.700942731893925e-07	-0.49999975161531623	-2.4999987607708336	-97.49999881753476	-99.49999976346024
15458	9.691371954945183e-07	-0.4999997518603801	-2.4999987619934956	-97.4999988187014	-99.49999976369362
15459	9.681810040351735e-07	-0.49999975210520226	-2.4999987632149505	-97.49999881986693	-99.49999976392677
15460	9.6722565984253e-07	-0.4999997523497829	-2.499998764435201	-97.49999882103127	-99.49999976415968
15461	9.662714781089043e-07	-0.49999975259412227	-2.4999987656542477	-97.49999882219447	-99.49999976439237
15462	9.653180513824466e-07	-0.4999997528382207	-2.499998766872091	-97.49999882335653	-99.49999976462483
15463	9.643655979330035e-07	-0.49999975308207817	-2.4999987680887332	-97.49999882451745	-99.49999976485707
15464	9.634141691083897e-07	-0.49999975332569485	-2.499998769304175	-97.49999882567721	-99.49999976508906
15465	9.624637623550925e-07	-0.4999997535690714	-2.4999987705184177	-97.49999882683584	-99.49999976532082
15466	9.615140361685093e-07	-0.4999997538122078	-2.4999987717314625	-97.49999882799331	-99.49999976555236
15467	9.60565456675777e-07	-0.49999975405510433	-2.49999877294331	-97.49999882914965	-99.49999976578368
15468	9.596176445136884e-07	-0.49999975429776117	-2.4999987741539624	-97.49999883030485	-99.49999976601477
15469	9.586709778797164e-07	-0.49999975454017853	-2.4999987753634203	-97.49999883145891	-99.49999976624564
15470	9.577250610903754e-07	-0.49999975478235686	-2.4999987765716845	-97.49999883261184	-99.49999976647625
15471	9.567799175158598e-07	-0.4999997550242962	-2.4999987777787567	-97.49999883376363	-99.49999976670667
15472	9.55836089056028e-07	-0.49999975526599677	-2.499998778984638	-97.49999883491427	-99.49999976693684
15473	9.548930414715606e-07	-0.4999997555074589	-2.499998780189329	-97.49999883606378	-99.49999976716678
15474	9.539510234524151e-07	-0.4999997557486828	-2.4999987813928324	-97.49999883721215	-99.4999997673965
15475	9.530096876098071e-07	-0.49999975598966867	-2.4999987825951484	-97.49999883835939	-99.499999767626
15476	9.520694325138024e-07	-0.49999975623041687	-2.4999987837962774	-97.49999883950551	-99.49999976785527
15477	9.51130224025043e-07	-0.4999997564709275	-2.499998784996222	-97.49999884065048	-99.4999997680843
15478	9.501917766496781e-07	-0.4999997567112009	-2.4999987861949826	-97.49999884179434	-99.49999976831312
